State,Honda Accord,Toyota Camry,Honda Civic,Toyota Corolla,Nissan Altima,Toyota Rav4,Honda CR-V,Jeep Grand Cherokee,Hyundai Sonata,Nissan Maxima,Hyundai Elantra,Ford Explorer,Ford Focus,Ford Taurus,Ford F150,Chevrolet Malibu,Nissan Sentra,Chevrolet Impala,Ford Escape,Chevrolet Silverado,Dodge Ram 1500,Ford Mustang,Ford Fusion
MASSACHUSETTS,66,60,56,48,44,26,22,22,22,22,20,20,20,18,18,18,16,16,16,14,0,0,0
NATIONAL,264,244,202,172,204,0,0,104,114,0,0,140,132,122,200,156,92,174,92,160,110,92,90
